Category,LandType,ImageX,ImageY,Band01,Band02,Band03,Band04,Band05,Band06,Band07,Band08,Band8A,Band09,Band11,Band12
3,Forest,418,789,1.0,3.0,6.0,5.0,12.0,30.0,35.0,38.0,38.0,17.0,8.5,38.0
3,Forest,396,520,0.0,2.5,5.0,4.0,8.0,23.5,28.5,32.0,30.0,14.5,8.0,31.0
3,Forest,396,530,1.0,3.0,6.0,4.5,12.0,31.0,37.0,38.5,38.5,16.5,8.5,39.5
3,Forest,406,520,2.0,3.5,6.5,6.5,13.5,29.5,33.5,37.0,37.5,23.5,13.5,38.0
3,Forest,406,530,0.0,2.0,4.5,3.5,10.0,26.0,30.5,31.0,33.5,14.0,7.5,33.5
3,Forest,350,438,0.0,2.5,5.5,4.5,11.0,30.5,37.0,38.5,39.5,16.5,8.5,42.0
3,Forest,350,448,1.0,2.0,4.0,3.0,8.5,23.0,27.5,31.0,34.0,12.0,7.0,31.5
3,Forest,360,438,0.0,2.0,4.5,3.5,9.0,26.0,31.5,32.5,35.5,14.5,7.5,35.0
3,Forest,360,448,0.0,2.0,4.0,3.0,8.5,23.5,28.0,32.0,34.5,14.0,7.0,32.5
3,Forest,595,734,1.0,3.0,6.0,6.0,12.0,28.5,33.0,36.0,36.0,19.5,10.0,36.5
3,Forest,595,744,0.0,3.0,6.0,4.0,11.5,30.5,36.0,39.5,37.0,15.0,8.0,39.0
3,Forest,605,734,0.0,2.0,5.0,4.0,10.0,28.0,32.0,35.0,35.5,15.0,7.5,35.0
3,Forest,605,744,0.0,2.0,4.0,2.5,7.0,22.0,27.5,28.0,29.5,12.0,5.5,30.0
3,Forest,206,70,0.0,3.0,5.0,4.0,9.0,25.0,29.0,32.0,32.0,15.0,8.0,32.0
3,Forest,206,80,0.0,3.0,5.0,4.0,9.0,25.0,29.0,32.0,31.0,14.5,7.5,32.0
3,Forest,216,70,3.0,8.0,10.5,15.5,17.0,27.5,32.5,38.0,41.5,39.0,24.0,39.5
3,Forest,216,80,0.0,3.0,5.0,4.0,9.0,24.5,28.5,32.5,32.0,15.5,8.0,31.5
4,Water,636,63,4.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
4,Water,636,73,5.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Water,646,63,4.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
4,Water,646,73,4.0,7.5,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
